complaint_text,category,department,priority,resolution_time_days
"Average level power cut seen in Whitefield Bengaluru, issue pending from 2 days. RefM289",Electricity,Electricity Board,Medium,6
"Ashok Vihar Delhi has medical problem sometimes, response is slow and there is delay. RefM146",Healthcare,Health Department,Medium,5
"Routine complaint from Kakadeo Kanpur on late buses, not urgent but needs attention. RefL467",Public Transport,Transport Department,Low,14
"road damage not working in Gachibowli Hyderabad from 5 days, situation is very high impact. RefH466",Roads & Infrastructure,PWD,High,3
"Rajendra Nagar Patna has litter sometimes, response is slow and there is delay. RefM141",Sanitation & Garbage,Municipal Corporation,Medium,4
"Average level appointment slot delay seen in T Nagar Chennai, issue pending from 2 days. RefM63",Government Services,Revenue Department,Medium,4
"When possible, improve dumping at Civil Lines Prayagraj; issue is low priority now. RefL288",Sanitation & Garbage,Municipal Corporation,Low,10
"Please improve bad roads in Banashankari Bengaluru, this is a minor suggestion. RefL207",Roads & Infrastructure,PWD,Low,15
"Anna Nagar Chennai facing bus delay continuously for 7 days, urgent action needed. RefH54",Public Transport,Transport Department,High,2
"Average level late buses seen in Indiranagar Bengaluru, isssue pending from 1 days. RefM47",Public Transport,Transport Department,Medium,4
There is transport style delay in service at Adyar Chennai due to certificate not updated. RefM455,Government Services,Revenue Department,Medium,3
"Please improve appointment slot delay in Kothrud Pune, this is a minor suggestion. RefL42",Government Services,Revenue Department,Low,15
"Since 8 days in Viman Nagar Pune, supply problem and service is completely down. RefH171",Water Supply,Municipal Corporation,High,1
"Viman Nagar Pune facing water shortage continuously for 9 days, urgent action needed. RefH59",Water Supply,Municipal Corporation,High,1
"road damage not working in Viman Nagar Pune from 9 days, situation is very high impact. RefH382",Roads & Infrastructure,PWD,High,1
"Banashankari Bengaluru facing supply problem continuously for 9 days, urgent action needed. RefH115",Water Supply,Municipal Corporation,High,1
"Please improve blackout in Nerul Navi Mumbai, this is a minor suggestion. RefL44",Electricity,Electricity Board,Low,12
"In Patia Bhubaneswar we have severe no electricity for 4 days, please fix urgently. RefH366",Electricity,Electricity Board,High,2
"Small inconvenience in Adyar Chennai because of transport issue, kindly review. RefL19",Public Transport,Transport Department,Low,9
"Howrah Maidan has no doctor sometimes, response is slow and there is delay. RefM153",Healthcare,Health Department,Medium,7
"Small inconvenience in Civil Lines Prayagraj because of littering, kindly review. RefL113",Sanitation & Garbage,Municipal Corporation,Low,15
"Small inconvenience in Lalpur Ranchi because of broken roads, kindly review. RefL347",Roads & Infrastructure,PWD,Low,10
"bus delay not working in Gomti Nagar Lucknow from 6 days, situation is very high impact. RefH257",Public Transport,Transport Department,High,3
"Small inconvenience in Laxmi Nagar Delhi because of broken roads, kindly review. RefL228",Roads & Infrastructure,PWD,Low,12
"When possible, improve bad roads at Howrah Maidan; issue is low priority now. RefL144",Roads & Infrastructure,PWD,Low,12
"Kondapur Hyderabad facing late buses continuously for 9 days, urgent action needed. RefH453",Public Transport,Transport Department,High,1
"certificate not updated not working in Kondapur Hyderabad from 6 days, situation is very high impact. RefH168",Government Services,Revenue Department,High,2
"late buses not working in Viman Nagar Pune from 4 days, situation is very high impact. RefH425",Public Transport,Transport Department,High,2
"Salt Lake Kolkata has supply problem sometimes, response is slow and there is delay. RefM52",Water Supply,Municipal Corporation,Medium,7
"Average level water shortage seen in Behala Kolkata, issue pending from 1 days. RefM458",Water Supply,Municipal Corporation,Medium,4
"Small inconvenience in Behala Kolkata because of water shortage, kindly review. RefL325",Water Supply,Municipal Corporation,Low,8
"Adyar Chennai facing bus delay continuously for 5 days, urgent action needed. RefH446",Public Transport,Transport Department,High,1
"Kakadeo Kanpur facing potholes continuously for 9 days, urgent action needed. RefH123",Roads & Infrastructure,PWD,High,2
"Routine complaint from Howrah Maidan on application pending, not urgent but needs attention. RefL357",Government Services,Revenue Department,Low,8
"Small inconvenience in Miyapur Hyderabad becuse of dumping, kindly review. RefL498",Sanitation & Garbage,Municipal Corporation,Low,14
There is transport style delay in service at Shivajinagar Pune due to water shortage. RefM17,Water Supply,Municipal Corporation,Medium,3
"Routine complaint from Rajendra Nagar Patna on no buses, not urgnt but needs attention. RefL89",Public Transport,Transport Department,Low,13
"transport isssue not working in Kondapur Hyderabad from 5 days, situation is very high impact. RefH313",Public Transport,Transport Department,High,2
"Nerul Navi Mumbai has transport issue sometimes, response is slow and there is delay. RefM229",Public Transport,Transport Department,Medium,6
"Noida Sector 62 has waste sometimes, response is slow and there is delay. RefM113",Sanitation & Garbage,Municipal Corporation,Medium,4
There is transport style delay in service at Gomti Nagar Lucknow due to power cut. RefM485,Electricity,Electricity Board,Medium,4
"Aliganj Lucknow facing verification not completed continuously for 4 days, urgent action needed. RefH406",Government Services,Revenue Department,High,2
"littering not working in Noida Sector 62 from 8 days, situation is very high impact. RefH197",Sanitation & Garbage,Municipal Corporation,High,3
"Thane West has no doctor sometimes, response is slow and there is delay. RefM244",Healthcare,Health Department,Medium,4
"In Howrah Maidan we have severe appointment slot delay for 3 days, please fix urgently. RefH294",Government Services,Revenue Department,High,3
"trash not working in Anna Nagar Chennai from 8 days, situation is very high impact. RefH225",Sanitation & Garbage,Municipal Corporation,High,3
"Miyapur Hyderabad facing bus delay continuously for 8 days, urgent action needed. RefH208",Public Transport,Transport Department,High,3
There is transport style delay in service at Vaishali Ghaziabad due to littering. RefM449,Sanitation & Garbage,Municipal Corporation,Medium,5
"In T Nagar Chennai we have severe medical problem for 5 days, please fix urgently. RefH195",Healthcare,Health Department,High,1
"litter not working in Kankarbagh Patna from 5 days, situation is very high impact. RefH239",Sanitation & Garbage,Municipal Corporation,High,1
"Thane West facing bad roads continuously for 5 days, urgent action needed. RefH417",Roads & Infrastructure,PWD,High,3
"Laxmi Nagar Delhi facing no buses continuously for 8 days, urgent action needed. RefH82",Public Transport,Transport Department,High,3
"Average level road damage seen in Perungudi Chennai, issue pending from 1 days. RefM277",Roads & Infrastructure,PWD,Medium,3
"Since 3 days in Kakadeo Kanpur, appointment slot delay and service is completely down. RefH420",Government Services,Revenue Department,High,2
"Whitefield Bengaluru facing bad roads continuously for 5 days, urgent aciton needed. RefH67",Roads & Infrastructure,PWD,High,1
"outage not working in Viman Nagar Pune from 9 days, situation is very high impact. RefH310",Electricity,Electricity Board,High,3
"Andheri East Mumbai facing hospital issue continuously for 5 days, urgent action needed. RefH258",Healthcare,Health Department,High,1
"Kondapur Hyderabad facing medical problem continuously for 4 days, urgent action needed. RefH167",Healthcare,Health Department,High,3
There is transport style delay in service at Patia Bhubaneswar due to bus delay. RefM495,Public Transport,Transport Department,Medium,6
"When possible, improve pipeline issue at Whitefield Bengaluru; issue is low priority now. RefL17",Water Supply,Municipal Corporation,Low,15
"When possible, improve water shortage at Ameerpet Hyderabad; issue is low priority now. RefL101",Water Supply,Municipal Corporation,Low,7
There is transport style delay in service at Kondapur Hyderabad due to bad roads. RefM46,Roads & Infrastructure,PWD,Medium,4
"Small inconvenience in Mansarovar Jaipur because of pipeline issue, kindly review. RefL332",Water Supply,Municipal Corporation,Low,8
"Average level trash seen in Perungudi Chennai, isssue pending from 2 days. RefM358",Sanitation & Garbage,Municipal Corporation,Medium,3
"Dwarka Delhi facing outage continuously for 3 days, urgent action needed. RefH352",Electricity,Electricity Board,High,2
"Kankarbagh Patna facing token not generated continuously for 9 days, urgent action needed. RefH42",Government Services,Revenue Department,High,3
"littering not working in Mayur Vihar Delhi from 7 days, situation is very high impact. RefH393",Sanitation & Garbage,Municipal Corporation,High,3
"Hinjewadi Pune facing late buses continuously for 8 days, urgent action needed. RefH145",Public Transport,Transport Department,High,3
"Patia Bhubaneswar facing hospital issue continuously for 4 days, urgent action needed. RefH454",Healthcare,Health Department,High,2
"Since 6 days in Miyapur Hyderabad, blackout and service is completely down. RefH72",Electricity,Electricity Board,High,1
"Aliganj Lucknow facing waste continuously for 5 days, urgent action needed. RefH176",Sanitation & Garbage,Municipal Corporation,High,1
"In Hinjewadi Pune, dumping is moderate but regular from last 1 days. RefM78",Sanitation & Garbage,Municipal Corporation,Medium,6
"Civil Lines Prayagraj has blackout sometimes, response is slow and there is delay. RefM149",Electricity,Electricity Board,Medium,7
"Please improve pipeline issue in Kankarbagh Patna, this is a minor suggestion. RefL248",Water Supply,Municipal Corporation,Low,13
"Average level hospital issue seen in Kothrud Pune, issue pending from 2 days. RefM363",Healthcare,Health Department,Medium,4
"Small inconvenience in Kakadeo Kanpur because of late buses, kindly review. RefL404",Public Transport,Transport Department,Low,15
"Kakadeo Kanpur has outage sometimes, response is slow and there is delay. RefM359",Electricity,Electricity Board,Medium,3
"Since 7 days in Dwarka Delhi, certificate not updated and service is completely down. RefH350",Government Services,Revenue Department,High,3
"Small inconvenience in Mansarovar Jaipur because of supply problem, kindly review. RefL353",Water Supply,Municipal Corporation,Low,13
"In Bopal Ahmedabad we have severe application pending for 4 days, please fix urgently. RefH224",Government Services,Revenue Department,High,2
"Since 3 days in Kakadeo Kanpur, late buses and servce is completely down. RefH488",Public Transport,Transport Department,High,2
"Routine complaint from Gomti Nagar Lucknow on verification not completed, not urgent but needs attention. RefL217",Government Services,Revenue Department,Low,14
"Average level application pending seen in Lalpur Ranchi, issue pending from 1 days. RefM98",Government Services,Revenue Department,Medium,7
"Since 5 days in Whitefield Bengaluru, trash and service is completely down. RefH414",Sanitation & Garbage,Municipal Corporation,High,2
"Since 9 days in Howrah Maidan, bad roads and service is completely down. RefH473",Roads & Infrastructure,PWD,High,2
"Routine complaint from Viman Nagar Pune on dumping, not urgent but needs attention. RefL148",Sanitation & Garbage,Municipal Corporation,Low,15
"Routine complaint from Saket Delhi on broken roads, not urgent but needs attention. RefL368",Roads & Infrastructure,PWD,Low,14
"Noida Sector 62 facing outage continuously for 5 days, urgnt action needed. RefH30",Electricity,Electricity Board,High,3
"Small inconvenience in Andheri East Mumbai because of potholes, kindly review. RefL67",Roads & Infrastructure,PWD,Low,11
"power cut not working in Karol Bagh Delhi from 4 days, situation is very high impact. RefH37",Electricity,Electricity Board,High,3
"Since 7 days in Perungudi Chennai, no water and service is completely down. RefH346",Water Supply,Municipal Corporation,High,3
"In Karol Bagh Delhi, record mismatch is moderate but regular from last 2 days. RefM357",Government Services,Revenue Department,Medium,7
"Since 4 days in Viman Nagar Pune, no electricity and service is completely down. RefH44",Electricity,Electricity Board,High,3
"When possible, improve bad roads at Banashankari Bengaluru; issue is low priority now. RefL74",Roads & Infrastructure,PWD,Low,7
There is transport style delay in service at Mayur Vihar Delhi due to road damage. RefM459,Roads & Infrastructure,PWD,Medium,5
"Indiranagar Bengaluru has blackout sometimes, response is slow and there is delay. RefM9",Electricity,Electricity Board,Medium,3
"Lalpur Ranchi has broken roads sometimes, response is slow and there is delay. RefM417",Roads & Infrastructure,PWD,Medium,3
"Small inconvenience in Mansarovar Jaipur because of bad roads, kindly review. RefL389",Roads & Infrastructure,PWD,Low,9
"Miyapur Hyderabad facing hospital issue continuously for 9 days, urgnt action needed. RefH97",Healthcare,Health Department,High,1
"Small inconvenience in Miyapur Hyderabad because of no buses, kindly review. RefL313",Public Transport,Transport Department,Low,10
"Ameerpet Hyderabad facing litter continuously for 5 days, urgent action needed. RefH463",Sanitation & Garbage,Municipal Corporation,High,3
"no water not working in Whitefield Bengaluru from 5 days, situation is very high impact. RefH122",Water Supply,Municipal Corporation,High,3
"In Kondapur Hyderabad we have severe outage for 9 days, please fix urgently. RefH436",Electricity,Electricity Board,High,1
"Please improve dump in Viman Nagar Pune, this is a minor suggestion. RefL253",Sanitation & Garbage,Municipal Corporation,Low,8
"In Perungudi Chennai, supply problem is moderate but regular from last 2 days. RefM381",Water Supply,Municipal Corporation,Medium,7
"Since 7 days in Mansarovar Jaipur, garbage and service is completely down. RefH365",Sanitation & Garbage,Municipal Corporation,High,1
"littering not working in Karol Bagh Delhi from 3 days, situation is very high impact. RefH428",Sanitation & Garbage,Municipal Corporation,High,3
There is transport style delay in service at Vaishali Ghaziabad due to hospital issue. RefM405,Healthcare,Health Department,Medium,6
"Since 6 days in Lalpur Ranchi, road damage and service is completely down. RefH242",Roads & Infrastructure,PWD,High,1
"Routine complaint from Hinjewadi Pune on bus delay, not urgent but needs attention. RefL271",Public Transport,Transport Department,Low,8
"Since 6 days in Mayur Vihar Delhi, no doctor and service is completely down. RefH216",Healthcare,Health Department,High,1
"Please improve record mismatch in Aliganj Lucknow, this is a minor suggestion. RefL203",Government Services,Revenue Department,Low,15
"Average level token not generated seen in Karol Bagh Delhi, issue pending from 2 days. RefM7",Government Services,Revenue Department,Medium,7
"Routine complaint from Rajendra Nagar Patna on no electricity, not urgnt but needs attention. RefL401",Electricity,Electricity Board,Low,11
"In Patia Bhubaneswar we have severe bus delay for 4 days, please fix urgently. RefH264",Public Transport,Transport Department,High,3
"Please improve road damage in Laxmi Nagar Delhi, this is a minor suggestion. RefL158",Roads & Infrastructure,PWD,Low,10
"Small inconvenience in Mayur Vihar Delhi because of token not generated, kindly review. RefL448",Government Services,Revenue Department,Low,13
"Please improve transport issue in Salt Lake Kolkata, this is a minor suggestion. RefL208",Public Transport,Transport Department,Low,10
"Please improve dump in Ashok Vihar Delhi, this is a minor suggestion. RefL232",Sanitation & Garbage,Municipal Corporation,Low,9
"Whitefield Bengaluru has bad roads sometimes, response is slow and there is delay. RefM312",Roads & Infrastructure,PWD,Medium,7
"Civil Lines Prayagraj facing verification not completed continuously for 7 days, urgent action needed. RefH252",Government Services,Revenue Department,High,2
"In Viman Nagar Pune, supply problem is moderate but regular from last 2 days. RefM234",Water Supply,Municipal Corporation,Medium,4
"In Dwarka Delhi, broken roads is moderate but regular from last 2 days. RefM431",Roads & Infrastructure,PWD,Medium,4
"In Banashankari Bengaluru, littering is moderate but regular from last 2 days. RefM71",Sanitation & Garbage,Municipal Corporation,Medium,3
"Routine complaint from Kankarbagh Patna on transport issue, not urgent but needs attention. RefL243",Public Transport,Transport Department,Low,14
"In Kothrud Pune, no doctor is moderate but regular from last 1 days. RefM377",Healthcare,Health Department,Medium,5
"Perungudi Chennai has no buses sometimes, response is slow and there is dely. RefM418",Public Transport,Transport Department,Medium,7
There is transport style delay in servce at Civil Lines Prayagraj due to no electricity. RefM191,Electricity,Electricity Board,Medium,3
"Small inconvenience in Viman Nagar Pune because of no buses, kindly review. RefL33",Public Transport,Transport Department,Low,9
"Please improve broken roads in Viman Nagar Pune, this is a minor suggestion. RefL417",Roads & Infrastructure,PWD,Low,11
"Average level application pending seen in Kondapur Hyderabad, issue pending from 2 days. RefM210",Government Services,Revenue Department,Medium,3
"Small inconvenience in Nerul Navi Mumbai because of no water, kindly review. RefL346",Water Supply,Municipal Corporation,Low,11
"Since 8 days in Perungudi Chennai, verification not completed and service is completely down. RefH245",Government Services,Revenue Department,High,1
"Since 4 days in Saket Delhi, road damage and service is completely down. RefH53",Roads & Infrastructure,PWD,High,3
"Small inconvenience in Howrah Maidan because of late buses, kindly review. RefL397",Public Transport,Transport Department,Low,12
"Dwarka Delhi facing medical problem continuously for 5 days, urgent action needed. RefH419",Healthcare,Health Department,High,2
There is transport style delay in service at Gachibowli Hyderabad due to garbage. RefM372,Sanitation & Garbage,Municipal Corporation,Medium,6
"In Perungudi Chennai, application pending is moderate but regular from last 2 days. RefM476",Government Services,Revenue Department,Medium,6
"Average level bus delay seen in Banashankari Bengaluru, isssue pending from 1 days. RefM215",Public Transport,Transport Department,Medium,4
"Average level application pending seen in Hinjewadi Pune, issue pending from 2 days. RefM196",Government Services,Revenue Department,Medium,6
"When possible, improve broken roads at Ameerpet Hyderabad; issue is low priority now. RefL431",Roads & Infrastructure,PWD,Low,9
There is transport style delay in service at Salt Lake Kolkata due to water shortage. RefM38,Water Supply,Municipal Corporation,Medium,7
"T Nagar Chennai has no electricity sometimes, response is slow and there is delay. RefM450",Electricity,Electricity Board,Medium,7
"Average level medical problem seen in Behala Kolkata, issue pending from 2 days. RefM76",Healthcare,Health Department,Medium,5
"Please improve road damage in Miyapur Hyderabad, this is a minor suggestion. RefL459",Roads & Infrastructure,PWD,Low,12
"In T Nagar Chennai, unhygienic is moderate but regular from last 1 days. RefM400",Sanitation & Garbage,Municipal Corporation,Medium,3
There is transport style delay in service at Salt Lake Kolkata due to pipeline issue. RefM395,Water Supply,Municipal Corporation,Medium,6
"Average level bus delay seen in Shivajinagar Pune, issue pending from 2 days. RefM173",Public Transport,Transport Department,Medium,5
"Routine complaint from Shivajinagar Pune on record mismatch, not urgent but needs attention. RefL196",Government Services,Revenue Department,Low,11
"When possible, improve broken roads at Sector 21 Gurugram; issue is low priority now. RefL11",Roads & Infrastructure,PWD,Low,12
"When possible, improve no water at Miyapur Hyderabad; issue is low priority now. RefL444",Water Supply,Municipal Corporation,Low,14
There is transport style delay in service at Howrah Maidan due to no water. RefM213,Water Supply,Municipal Corporation,Medium,4
"Average level medical problem seen in Mayur Vihar Delhi, issue pending from 2 days. RefM251",Healthcare,Health Department,Medium,6
"In Anna Nagar Chennai, voltage issue is moderate but regular from last 1 days. RefM72",Electricity,Electricity Board,Medium,5
"Average level dumping seen in Noida Sector 62, issue pending from 1 days. RefM288",Sanitation & Garbage,Municipal Corporation,Medium,3
"Routine complaint from Mayur Vihar Delhi on appointment slot delay, not urgnt but needs attention. RefL483",Government Services,Revenue Department,Low,7
"Vaishali Ghaziabad facing garbage continuously for 4 days, urgent action needed. RefH267",Sanitation & Garbage,Municipal Corporation,High,1
"Average level no water seen in Kothrud Pune, issue pending from 2 days. RefM339",Water Supply,Municipal Corporation,Medium,4
"Aliganj Lucknow has blackout sometimes, response is slow and there is delay. RefM464",Electricity,Electricity Board,Medium,7
"When possible, improve bad roads at Aliganj Lucknow; issue is low priority now. RefL424",Roads & Infrastructure,PWD,Low,12
"Rajendra Nagar Patna facing littering continuously for 9 days, urgent action needed. RefH92",Sanitation & Garbage,Municipal Corporation,High,1
There is transport style delay in service at Gachibowli Hyderabad due to water shortage. RefM269,Water Supply,Municipal Corporation,Medium,7
"In Whitefield Bengaluru, late buses is moderate but regular from last 1 days. RefM61",Public Transport,Transport Department,Medium,4
"Thane West facing portal status stuck continuously for 4 days, urgent action needed. RefH161",Government Services,Revenue Department,High,1
"Average level pipeline issue seen in Saket Delhi, issue pending from 1 days. RefM199",Water Supply,Municipal Corporation,Medium,6
"When possible, improve power cut at Gomti Nagar Lucknow; issue is low priority now. RefL261",Electricity,Electricity Board,Low,14
"Small inconvenience in Viman Nagar Pune because of blackout, kindly review. RefL51",Electricity,Electricity Board,Low,13
"Small inconvenience in Nerul Navi Mumbai because of certificate not updated, kindly review. RefL420",Government Services,Revenue Department,Low,11
"Since 3 days in Gomti Nagar Lucknow, voltage issue and service is completely down. RefH247",Electricity,Electricity Board,High,1
"Since 5 days in Bopal Ahmedabad, late buses and service is completely down. RefH460",Public Transport,Transport Department,High,1
"Routine complaint from Civil Lines Prayagraj on litter, not urgent but needs attention. RefL456",Sanitation & Garbage,Municipal Corporation,Low,14
"no buses not working in Kankarbagh Patna from 5 days, situation is very high impact. RefH201",Public Transport,Transport Department,High,3
"In Laxmi Nagar Delhi we have severe supply problem for 3 days, please fix urgently. RefH31",Water Supply,Municipal Corporation,High,2
"When possible, improve no buses at Hinjewadi Pune; issue is low priority now. RefL131",Public Transport,Transport Department,Low,13
"Since 7 days in Lalpur Ranchi, dump and service is completely down. RefH323",Sanitation & Garbage,Municipal Corporation,High,2
"When possible, improve verification not completed at Karol Bagh Delhi; issue is low priority now. RefL434",Government Services,Revenue Department,Low,10
There is transport style delay in service at Hinjewadi Pune due to hospital issue. RefM454,Healthcare,Health Department,Medium,5
"Average level transport issue seen in Kakadeo Kanpur, issue pending from 2 days. RefM12",Public Transport,Transport Department,Medium,7
"Laxmi Nagar Delhi facing outage continuously for 8 days, urgent action needed. RefH492",Electricity,Electricity Board,High,3
"blackout not working in Nerul Navi Mumbai from 8 days, situation is very high impact. RefH2",Electricity,Electricity Board,High,2
"Andheri East Mumbai facing medical problem continuously for 8 days, urgent action needed. RefH356",Healthcare,Health Department,High,2
"pipeline issue not working in Andheri East Mumbai from 4 days, situation is very high impact. RefH234",Water Supply,Municipal Corporation,High,3
"Please improve dirty in Perungudi Chennai, this is a minor suggestion. RefL218",Sanitation & Garbage,Municipal Corporation,Low,15
"Average level record mismatch seen in Shivajinagar Pune, issue pending from 2 days. RefM42",Government Services,Revenue Department,Medium,6
"no doctor not working in Noida Sector 62 from 9 days, situation is very high impact. RefH13",Healthcare,Health Department,High,1
"When possible, improve water shortage at Kondapur Hyderabad; issue is low priority now. RefL115",Water Supply,Municipal Corporation,Low,14
"When possible, improve water shortage at Kothrud Pune; issue is low priority now. RefL493",Water Supply,Municipal Corporation,Low,14
"Routine complaint from Indiranagar Bengaluru on litter, not urgent but needs attention. RefL358",Sanitation & Garbage,Municipal Corporation,Low,13
"In Nerul Navi Mumbai, dumping is moderate but regular from last 1 days. RefM414",Sanitation & Garbage,Municipal Corporation,Medium,3
"Small inconvenience in Salt Lake Kolkata because of pipeline issue, kindly review. RefL199",Water Supply,Municipal Corporation,Low,9
"When possible, improve littering at Nerul Navi Mumbai; issue is low priority now. RefL421",Sanitation & Garbage,Municipal Corporation,Low,8
"Average level no buses seen in Behala Kolkata, issue pending from 2 days. RefM82",Public Transport,Transport Department,Medium,5
"Please improve no electricity in Thane West, this is a minor suggestion. RefL128",Electricity,Electricity Board,Low,9
"no water not working in Bopal Ahmedabad from 6 days, situation is very high impact. RefH318",Water Supply,Municipal Corporation,High,2
"When possible, improve late buses at Kakadeo Kanpur; issue is low priority now. RefL117",Public Transport,Transport Department,Low,12
"Small inconvenience in Mansarovar Jaipur because of dirty, kindly review. RefL365",Sanitation & Garbage,Municipal Corporation,Low,15
"plese improve no doctor in Perungudi Chennai, this is a minor suggestion. RefL258",Healthcare,Health Department,Low,10
"Nerul Navi Mumbai has late buses sometimes, response is slow and there is delay. RefM467",Public Transport,Transport Department,Medium,6
"When possible, improve medical problem at Ameerpet Hyderabad; issue is low priority now. RefL181",Healthcare,Health Department,Low,12
"Small inconvenience in Patia Bhubaneswar becuse of application pending, kindly review. RefL35",Government Services,Revenue Department,Low,7
"In Gomti Nagar Lucknow we have severe potholes for 8 days, plese fix urgently. RefH333",Roads & Infrastructure,PWD,High,2
"Please improve trash in Perungudi Chennai, this is a minor suggestion. RefL449",Sanitation & Garbage,Municipal Corporation,Low,13
"Average level late buses seen in Bopal Ahmedabad, issue pending from 2 days. RefM334",Public Transport,Transport Department,Medium,4
"Average level no water seen in Noida Sector 62, issue pending from 1 days. RefM374",Water Supply,Municipal Corporation,Medium,5
"Since 6 days in Adyar Chennai, certificate not updated and service is completely down. RefH490",Government Services,Revenue Department,High,1
"In Kondapur Hyderabad we have severe littering for 8 days, please fix urgently. RefH8",Sanitation & Garbage,Municipal Corporation,High,1
"In Behala Kolkata we have severe road damage for 9 days, please fix urgently. RefH249",Roads & Infrastructure,PWD,High,3
"When possible, improve hospital issue at Ameerpet Hyderabad; issue is low priority now. RefL69",Healthcare,Health Department,Low,9
"In Miyapur Hyderabad we have severe dump for 8 days, please fix urgently. RefH15",Sanitation & Garbage,Municipal Corporation,High,3
"Since 3 days in Howrah Maidan, hospital issue and service is completely down. RefH265",Healthcare,Health Department,High,3
"When possible, improve no water at Bopal Ahmedabad; issue is low priority now. RefL94",Water Supply,Municipal Corporation,Low,15
"When possible, improve no water at Karol Bagh Delhi; issue is low priority now. RefL80",Water Supply,Municipal Corporation,Low,10
"In Kondapur Hyderabad, no water is moderate but regular from last 1 days. RefM402",Water Supply,Municipal Corporation,Medium,6
"Routine complaint from Howrah Maidan on hospital issue, not urgent but needs attention. RefL265",Healthcare,Health Department,Low,10
"hospital issue not working in Thane West from 4 days, situation is very high impact. RefH20",Healthcare,Health Department,High,3
"Please improve bus delay in Ameerpet Hyderabad, this is a minor suggestion. RefL390",Public Transport,Transport Department,Low,11
"Since 4 days in Noida Sector 62, no water and service is completely down. RefH304",Water Supply,Municipal Corporation,High,2
"Miyapur Hyderabad facing road damage continuously for 6 days, urgent action needed. RefH263",Roads & Infrastructure,PWD,High,3
"Ameerpet Hyderabad facing water shortage continuously for 7 days, urgent action needed. RefH108",Water Supply,Municipal Corporation,High,3
"Average level no doctor seen in Aliganj Lucknow, issue pending from 2 days. RefM41",Healthcare,Health Department,Medium,3
"Shivajinagar Pune has medical problem sometimes, response is slow and there is delay. RefM286",Healthcare,Health Department,Medium,7
"Small inconvenience in Bopal Ahmedabad because of litter, kindly review. RefL85",Sanitation & Garbage,Municipal Corporation,Low,10
"In Miyapur Hyderabad, voltage issue is moderate but regular from last 1 days. RefM184",Electricity,Electricity Board,Medium,6
"In Whitefield Bengaluru we have severe supply problem for 3 days, please fix urgently. RefH94",Water Supply,Municipal Corporation,High,2
"Small inconvenience in Ameerpet Hyderabad because of medical problem, kindly review. RefL328",Healthcare,Health Department,Low,9
"Whitefield Bengaluru has water shortage sometimes, response is slow and there is delay. RefM325",Water Supply,Municipal Corporation,Medium,7
"Please improve dirty in Viman Nagar Pune, this is a minor suggestion. RefL64",Sanitation & Garbage,Municipal Corporation,Low,10
"When possible, improve voltage issue at Indiranagar Bengaluru; issue is low priority now. RefL436",Electricity,Electricity Board,Low,9
"Please improve bad roads in Miyapur Hyderabad, this is a minor suggestion. RefL200",Roads & Infrastructure,PWD,Low,11
There is transport style delay in service at Nerul Navi Mumbai due to hospital issue. RefM13,Healthcare,Health Department,Medium,7
"Routine complaint from Banashankari Bengaluru on no electricity, not urgent but needs attention. RefL443",Electricity,Electricity Board,Low,7
"In Patia Bhubaneswar, application pending is moderate but regular from last 1 days. RefM175",Government Services,Revenue Department,Medium,6
"When possible, improve broken roads at Anna Nagar Chennai; issue is low priority now. RefL305",Roads & Infrastructure,PWD,Low,9
"Routine complaint from Civil Lines Prayagraj on broken roads, not urgent but needs attention. RefL137",Roads & Infrastructure,PWD,Low,7
"Since 9 days in Kothrud Pune, trash and service is completely down. RefH85",Sanitation & Garbage,Municipal Corporation,High,1
"Please improve bad roads in Mansarovar Jaipur, this is a minor suggestion. RefL263",Roads & Infrastructure,PWD,Low,14
"Routine complaint from Mayur Vihar Delhi on outage, not urgent but needs attention. RefL170",Electricity,Electricity Board,Low,14
"Average level no buses seen in Hinjewadi Pune, issue pending from 1 days. RefM26",Public Transport,Transport Department,Medium,6
"Average level transport issue seen in Saket Delhi, issue pending from 1 days. RefM271",Public Transport,Transport Department,Medium,3
"Routine complaint from Thane West on late buses, not urgent but needs attention. RefL432",Public Transport,Transport Department,Low,10
"In Saket Delhi, potholes is moderate but regular from last 1 days. RefM256",Roads & Infrastructure,PWD,Medium,7
"Please improve water shortage in Indiranagar Bengaluru, this is a minor suggestion. RefL66",Water Supply,Municipal Corporation,Low,15
"water shortage not working in Ameerpet Hyderabad from 7 days, situation is very high impact. RefH241",Water Supply,Municipal Corporation,High,2
"In Behala Kolkata we have severe bus delay for 9 days, plese fix urgently. RefH222",Public Transport,Transport Department,High,2
"Please improve outage in Andheri East Mumbai, this is a minor suggestion. RefL492",Electricity,Electricity Board,Low,11
There is transport style delay in service at Shivajinagar Pune due to token not generated. RefM378,Government Services,Revenue Department,Medium,3
"Perungudi Chennai facing supply problm continuously for 6 days, urgent action needed. RefH248",Water Supply,Municipal Corporation,High,3
"In Mayur Vihar Delhi we have severe record mismatch for 8 days, please fix urgently. RefH455",Government Services,Revenue Department,High,2
"Salt Lake Kolkata has outage sometimes, response is slow and there is delay. RefM492",Electricity,Electricity Board,Medium,3
"Routine complaint from Vaishali Ghaziabad on waste, not urgent but needs attention. RefL393",Sanitation & Garbage,Municipal Corporation,Low,11
"In Dwarka Delhi, dump is moderate but regular from last 1 days. RefM267",Sanitation & Garbage,Municipal Corporation,Medium,6
