complaint_text,category,department,priority,resolution_time_days
gomti nagar lucknow facing bad road continuously day urgent aciton needed refh,Roads & Infrastructure,PWD,High,1
average level bus delay seen behala kolkata issue pending day refm,Public Transport,Transport Department,Medium,4
indiranagar bengaluru dump moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,5
since day aliganj lucknow appointment slot delay service completely refh,Government Services,Revenue Department,High,2
thane west severe water shortage day please fix urgently refh,Water Supply,Municipal Corporation,High,2
possible improve doctor perungudi chennai issue low priority refl,Healthcare,Health Department,Low,14
since day adyar chennai voltage issue service completely refh,Electricity,Electricity Board,High,3
kakadeo kanpur power cut moderate regular last day refm,Electricity,Electricity Board,Medium,3
shivajinagar pune severe appointment slot delay day please fix urgently refh,Government Services,Revenue Department,High,3
kothrud pune hospital isssue moderate regular last day refm,Healthcare,Health Department,Medium,5
andheri east mumbai record mismatch moderate regular last day refm,Government Services,Revenue Department,Medium,4
routine complaint saket delhi blackout urgnt need attention refl,Electricity,Electricity Board,Low,15
indiranagar bengaluru bad road moderate regular last day refm,Roads & Infrastructure,PWD,Medium,4
miyapur hyderabad pothole sometimes response slow delay refm,Roads & Infrastructure,PWD,Medium,3
transport style delay service gachibowli hyderabad due bus refm,Public Transport,Transport Department,Medium,3
small inconvenience indiranagar bengaluru broken road kindly review refl,Roads & Infrastructure,PWD,Low,10
saket delhi severe road damage day please fix urgently refh,Roads & Infrastructure,PWD,High,2
bopal ahmedabad littering moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,6
average level water shortage seen patia bhubaneswar issue pending day refm,Water Supply,Municipal Corporation,Medium,4
routine complaint perungudi chennai outage urgent need attention refl,Electricity,Electricity Board,Low,10
ameerpet hyderabad hospital isssue moderate regular last day refm,Healthcare,Health Department,Medium,4
average level littering seen shivajinagar pune issue pending day refm,Sanitation & Garbage,Municipal Corporation,Medium,3
routine complaint hinjewadi pune medical problem urgent need attention refl,Healthcare,Health Department,Low,14
ashok vihar delhi dump moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,3
please improve broken road hinjewadi pune minor suggestion refl,Roads & Infrastructure,PWD,Low,15
routine complaint hinjewadi pune transport issue urgent need attention refl,Public Transport,Transport Department,Low,14
kothrud pune water shortage sometimes response slow delay refm,Water Supply,Municipal Corporation,Medium,4
dump working patia bhubaneswar day situation high impact refh,Sanitation & Garbage,Municipal Corporation,High,3
average level power cut seen whitefield bengaluru issue pending day refm,Electricity,Electricity Board,Medium,6
ashok vihar delhi medical problem sometimes response slow delay refm,Healthcare,Health Department,Medium,5
routine complaint kakadeo kanpur late bus urgent need attention refl,Public Transport,Transport Department,Low,14
road damage working gachibowli hyderabad day situation high impact refh,Roads & Infrastructure,PWD,High,3
rajendra nagar patna litter sometimes response slow delay refm,Sanitation & Garbage,Municipal Corporation,Medium,4
average level appointment slot delay seen nagar chennai issue pending day refm,Government Services,Revenue Department,Medium,4
possible improve dumping civil line prayagraj issue low priority refl,Sanitation & Garbage,Municipal Corporation,Low,10
please improve bad road banashankari bengaluru minor suggestion refl,Roads & Infrastructure,PWD,Low,15
anna nagar chennai facing bus delay continuously day urgent action needed refh,Public Transport,Transport Department,High,2
average level late bus seen indiranagar bengaluru isssue pending day refm,Public Transport,Transport Department,Medium,4
transport style delay service adyar chennai due certificate updated refm,Government Services,Revenue Department,Medium,3
please improve appointment slot delay kothrud pune minor suggestion refl,Government Services,Revenue Department,Low,15
since day viman nagar pune supply problem service completely refh,Water Supply,Municipal Corporation,High,1
viman nagar pune facing water shortage continuously day urgent action needed refh,Water Supply,Municipal Corporation,High,1
road damage working viman nagar pune day situation high impact refh,Roads & Infrastructure,PWD,High,1
banashankari bengaluru facing supply problem continuously day urgent action needed refh,Water Supply,Municipal Corporation,High,1
please improve blackout nerul navi mumbai minor suggestion refl,Electricity,Electricity Board,Low,12
patia bhubaneswar severe electricity day please fix urgently refh,Electricity,Electricity Board,High,2
small inconvenience adyar chennai transport issue kindly review refl,Public Transport,Transport Department,Low,9
howrah maidan doctor sometimes response slow delay refm,Healthcare,Health Department,Medium,7
small inconvenience civil line prayagraj littering kindly review refl,Sanitation & Garbage,Municipal Corporation,Low,15
small inconvenience lalpur ranchi broken road kindly review refl,Roads & Infrastructure,PWD,Low,10
bus delay working gomti nagar lucknow day situation high impact refh,Public Transport,Transport Department,High,3
small inconvenience laxmi nagar delhi broken road kindly review refl,Roads & Infrastructure,PWD,Low,12
possible improve bad road howrah maidan issue low priority refl,Roads & Infrastructure,PWD,Low,12
kondapur hyderabad facing late bus continuously day urgent action needed refh,Public Transport,Transport Department,High,1
certificate updated working kondapur hyderabad day situation high impact refh,Government Services,Revenue Department,High,2
late bus working viman nagar pune day situation high impact refh,Public Transport,Transport Department,High,2
salt lake kolkata supply problem sometimes response slow delay refm,Water Supply,Municipal Corporation,Medium,7
average level water shortage seen behala kolkata issue pending day refm,Water Supply,Municipal Corporation,Medium,4
small inconvenience behala kolkata water shortage kindly review refl,Water Supply,Municipal Corporation,Low,8
adyar chennai facing bus delay continuously day urgent action needed refh,Public Transport,Transport Department,High,1
kakadeo kanpur facing pothole continuously day urgent action needed refh,Roads & Infrastructure,PWD,High,2
routine complaint howrah maidan application pending urgent need attention refl,Government Services,Revenue Department,Low,8
small inconvenience miyapur hyderabad becuse dumping kindly review refl,Sanitation & Garbage,Municipal Corporation,Low,14
transport style delay service shivajinagar pune due water shortage refm,Water Supply,Municipal Corporation,Medium,3
routine complaint rajendra nagar patna bus urgnt need attention refl,Public Transport,Transport Department,Low,13
transport isssue working kondapur hyderabad day situation high impact refh,Public Transport,Transport Department,High,2
nerul navi mumbai transport issue sometimes response slow delay refm,Public Transport,Transport Department,Medium,6
noida sector waste sometimes response slow delay refm,Sanitation & Garbage,Municipal Corporation,Medium,4
transport style delay service gomti nagar lucknow due power cut refm,Electricity,Electricity Board,Medium,4
aliganj lucknow facing verification completed continuously day urgent action needed refh,Government Services,Revenue Department,High,2
littering working noida sector day situation high impact refh,Sanitation & Garbage,Municipal Corporation,High,3
thane west doctor sometimes response slow delay refm,Healthcare,Health Department,Medium,4
howrah maidan severe appointment slot delay day please fix urgently refh,Government Services,Revenue Department,High,3
trash working anna nagar chennai day situation high impact refh,Sanitation & Garbage,Municipal Corporation,High,3
miyapur hyderabad facing bus delay continuously day urgent action needed refh,Public Transport,Transport Department,High,3
transport style delay service vaishali ghaziabad due littering refm,Sanitation & Garbage,Municipal Corporation,Medium,5
nagar chennai severe medical problem day please fix urgently refh,Healthcare,Health Department,High,1
litter working kankarbagh patna day situation high impact refh,Sanitation & Garbage,Municipal Corporation,High,1
thane west facing bad road continuously day urgent action needed refh,Roads & Infrastructure,PWD,High,3
laxmi nagar delhi facing bus continuously day urgent action needed refh,Public Transport,Transport Department,High,3
average level road damage seen perungudi chennai issue pending day refm,Roads & Infrastructure,PWD,Medium,3
since day kakadeo kanpur appointment slot delay service completely refh,Government Services,Revenue Department,High,2
whitefield bengaluru facing bad road continuously day urgent aciton needed refh,Roads & Infrastructure,PWD,High,1
outage working viman nagar pune day situation high impact refh,Electricity,Electricity Board,High,3
andheri east mumbai facing hospital issue continuously day urgent action needed refh,Healthcare,Health Department,High,1
kondapur hyderabad facing medical problem continuously day urgent action needed refh,Healthcare,Health Department,High,3
transport style delay service patia bhubaneswar due bus delay refm,Public Transport,Transport Department,Medium,6
possible improve pipeline issue whitefield bengaluru issue low priority refl,Water Supply,Municipal Corporation,Low,15
possible improve water shortage ameerpet hyderabad issue low priority refl,Water Supply,Municipal Corporation,Low,7
transport style delay service kondapur hyderabad due bad road refm,Roads & Infrastructure,PWD,Medium,4
small inconvenience mansarovar jaipur pipeline issue kindly review refl,Water Supply,Municipal Corporation,Low,8
average level trash seen perungudi chennai isssue pending day refm,Sanitation & Garbage,Municipal Corporation,Medium,3
dwarka delhi facing outage continuously day urgent action needed refh,Electricity,Electricity Board,High,2
kankarbagh patna facing token generated continuously day urgent action needed refh,Government Services,Revenue Department,High,3
littering working mayur vihar delhi day situation high impact refh,Sanitation & Garbage,Municipal Corporation,High,3
hinjewadi pune facing late bus continuously day urgent action needed refh,Public Transport,Transport Department,High,3
patia bhubaneswar facing hospital issue continuously day urgent action needed refh,Healthcare,Health Department,High,2
since day miyapur hyderabad blackout service completely refh,Electricity,Electricity Board,High,1
aliganj lucknow facing waste continuously day urgent action needed refh,Sanitation & Garbage,Municipal Corporation,High,1
hinjewadi pune dumping moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,6
civil line prayagraj blackout sometimes response slow delay refm,Electricity,Electricity Board,Medium,7
please improve pipeline issue kankarbagh patna minor suggestion refl,Water Supply,Municipal Corporation,Low,13
average level hospital issue seen kothrud pune issue pending day refm,Healthcare,Health Department,Medium,4
small inconvenience kakadeo kanpur late bus kindly review refl,Public Transport,Transport Department,Low,15
kakadeo kanpur outage sometimes response slow delay refm,Electricity,Electricity Board,Medium,3
since day dwarka delhi certificate updated service completely refh,Government Services,Revenue Department,High,3
small inconvenience mansarovar jaipur supply problem kindly review refl,Water Supply,Municipal Corporation,Low,13
bopal ahmedabad severe application pending day please fix urgently refh,Government Services,Revenue Department,High,2
since day kakadeo kanpur late bus servce completely refh,Public Transport,Transport Department,High,2
routine complaint gomti nagar lucknow verification completed urgent need attention refl,Government Services,Revenue Department,Low,14
average level application pending seen lalpur ranchi issue pending day refm,Government Services,Revenue Department,Medium,7
since day whitefield bengaluru trash service completely refh,Sanitation & Garbage,Municipal Corporation,High,2
since day howrah maidan bad road service completely refh,Roads & Infrastructure,PWD,High,2
routine complaint viman nagar pune dumping urgent need attention refl,Sanitation & Garbage,Municipal Corporation,Low,15
routine complaint saket delhi broken road urgent need attention refl,Roads & Infrastructure,PWD,Low,14
noida sector facing outage continuously day urgnt action needed refh,Electricity,Electricity Board,High,3
small inconvenience andheri east mumbai pothole kindly review refl,Roads & Infrastructure,PWD,Low,11
power cut working karol bagh delhi day situation high impact refh,Electricity,Electricity Board,High,3
since day perungudi chennai water service completely refh,Water Supply,Municipal Corporation,High,3
karol bagh delhi record mismatch moderate regular last day refm,Government Services,Revenue Department,Medium,7
since day viman nagar pune electricity service completely refh,Electricity,Electricity Board,High,3
possible improve bad road banashankari bengaluru issue low priority refl,Roads & Infrastructure,PWD,Low,7
transport style delay service mayur vihar delhi due road damage refm,Roads & Infrastructure,PWD,Medium,5
indiranagar bengaluru blackout sometimes response slow delay refm,Electricity,Electricity Board,Medium,3
lalpur ranchi broken road sometimes response slow delay refm,Roads & Infrastructure,PWD,Medium,3
small inconvenience mansarovar jaipur bad road kindly review refl,Roads & Infrastructure,PWD,Low,9
miyapur hyderabad facing hospital issue continuously day urgnt action needed refh,Healthcare,Health Department,High,1
small inconvenience miyapur hyderabad bus kindly review refl,Public Transport,Transport Department,Low,10
ameerpet hyderabad facing litter continuously day urgent action needed refh,Sanitation & Garbage,Municipal Corporation,High,3
water working whitefield bengaluru day situation high impact refh,Water Supply,Municipal Corporation,High,3
kondapur hyderabad severe outage day please fix urgently refh,Electricity,Electricity Board,High,1
please improve dump viman nagar pune minor suggestion refl,Sanitation & Garbage,Municipal Corporation,Low,8
perungudi chennai supply problem moderate regular last day refm,Water Supply,Municipal Corporation,Medium,7
since day mansarovar jaipur garbage service completely refh,Sanitation & Garbage,Municipal Corporation,High,1
littering working karol bagh delhi day situation high impact refh,Sanitation & Garbage,Municipal Corporation,High,3
transport style delay service vaishali ghaziabad due hospital issue refm,Healthcare,Health Department,Medium,6
since day lalpur ranchi road damage service completely refh,Roads & Infrastructure,PWD,High,1
routine complaint hinjewadi pune bus delay urgent need attention refl,Public Transport,Transport Department,Low,8
since day mayur vihar delhi doctor service completely refh,Healthcare,Health Department,High,1
please improve record mismatch aliganj lucknow minor suggestion refl,Government Services,Revenue Department,Low,15
average level token generated seen karol bagh delhi issue pending day refm,Government Services,Revenue Department,Medium,7
routine complaint rajendra nagar patna electricity urgnt need attention refl,Electricity,Electricity Board,Low,11
patia bhubaneswar severe bus delay day please fix urgently refh,Public Transport,Transport Department,High,3
please improve road damage laxmi nagar delhi minor suggestion refl,Roads & Infrastructure,PWD,Low,10
small inconvenience mayur vihar delhi token generated kindly review refl,Government Services,Revenue Department,Low,13
please improve transport issue salt lake kolkata minor suggestion refl,Public Transport,Transport Department,Low,10
please improve dump ashok vihar delhi minor suggestion refl,Sanitation & Garbage,Municipal Corporation,Low,9
whitefield bengaluru bad road sometimes response slow delay refm,Roads & Infrastructure,PWD,Medium,7
civil line prayagraj facing verification completed continuously day urgent action needed refh,Government Services,Revenue Department,High,2
viman nagar pune supply problem moderate regular last day refm,Water Supply,Municipal Corporation,Medium,4
dwarka delhi broken road moderate regular last day refm,Roads & Infrastructure,PWD,Medium,4
banashankari bengaluru littering moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,3
routine complaint kankarbagh patna transport issue urgent need attention refl,Public Transport,Transport Department,Low,14
kothrud pune doctor moderate regular last day refm,Healthcare,Health Department,Medium,5
perungudi chennai bus sometimes response slow dely refm,Public Transport,Transport Department,Medium,7
transport style delay servce civil line prayagraj due electricity refm,Electricity,Electricity Board,Medium,3
small inconvenience viman nagar pune bus kindly review refl,Public Transport,Transport Department,Low,9
please improve broken road viman nagar pune minor suggestion refl,Roads & Infrastructure,PWD,Low,11
average level application pending seen kondapur hyderabad issue pending day refm,Government Services,Revenue Department,Medium,3
small inconvenience nerul navi mumbai water kindly review refl,Water Supply,Municipal Corporation,Low,11
since day perungudi chennai verification completed service completely refh,Government Services,Revenue Department,High,1
since day saket delhi road damage service completely refh,Roads & Infrastructure,PWD,High,3
small inconvenience howrah maidan late bus kindly review refl,Public Transport,Transport Department,Low,12
dwarka delhi facing medical problem continuously day urgent action needed refh,Healthcare,Health Department,High,2
transport style delay service gachibowli hyderabad due garbage refm,Sanitation & Garbage,Municipal Corporation,Medium,6
perungudi chennai application pending moderate regular last day refm,Government Services,Revenue Department,Medium,6
average level bus delay seen banashankari bengaluru isssue pending day refm,Public Transport,Transport Department,Medium,4
average level application pending seen hinjewadi pune issue pending day refm,Government Services,Revenue Department,Medium,6
possible improve broken road ameerpet hyderabad issue low priority refl,Roads & Infrastructure,PWD,Low,9
transport style delay service salt lake kolkata due water shortage refm,Water Supply,Municipal Corporation,Medium,7
nagar chennai electricity sometimes response slow delay refm,Electricity,Electricity Board,Medium,7
average level medical problem seen behala kolkata issue pending day refm,Healthcare,Health Department,Medium,5
please improve road damage miyapur hyderabad minor suggestion refl,Roads & Infrastructure,PWD,Low,12
nagar chennai unhygienic moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,3
transport style delay service salt lake kolkata due pipeline issue refm,Water Supply,Municipal Corporation,Medium,6
average level bus delay seen shivajinagar pune issue pending day refm,Public Transport,Transport Department,Medium,5
routine complaint shivajinagar pune record mismatch urgent need attention refl,Government Services,Revenue Department,Low,11
possible improve broken road sector gurugram issue low priority refl,Roads & Infrastructure,PWD,Low,12
possible improve water miyapur hyderabad issue low priority refl,Water Supply,Municipal Corporation,Low,14
transport style delay service howrah maidan due water refm,Water Supply,Municipal Corporation,Medium,4
average level medical problem seen mayur vihar delhi issue pending day refm,Healthcare,Health Department,Medium,6
anna nagar chennai voltage issue moderate regular last day refm,Electricity,Electricity Board,Medium,5
average level dumping seen noida sector issue pending day refm,Sanitation & Garbage,Municipal Corporation,Medium,3
routine complaint mayur vihar delhi appointment slot delay urgnt need attention refl,Government Services,Revenue Department,Low,7
vaishali ghaziabad facing garbage continuously day urgent action needed refh,Sanitation & Garbage,Municipal Corporation,High,1
average level water seen kothrud pune issue pending day refm,Water Supply,Municipal Corporation,Medium,4
aliganj lucknow blackout sometimes response slow delay refm,Electricity,Electricity Board,Medium,7
possible improve bad road aliganj lucknow issue low priority refl,Roads & Infrastructure,PWD,Low,12
rajendra nagar patna facing littering continuously day urgent action needed refh,Sanitation & Garbage,Municipal Corporation,High,1
transport style delay service gachibowli hyderabad due water shortage refm,Water Supply,Municipal Corporation,Medium,7
whitefield bengaluru late bus moderate regular last day refm,Public Transport,Transport Department,Medium,4
thane west facing portal status stuck continuously day urgent action needed refh,Government Services,Revenue Department,High,1
average level pipeline issue seen saket delhi issue pending day refm,Water Supply,Municipal Corporation,Medium,6
possible improve power cut gomti nagar lucknow issue low priority refl,Electricity,Electricity Board,Low,14
small inconvenience viman nagar pune blackout kindly review refl,Electricity,Electricity Board,Low,13
small inconvenience nerul navi mumbai certificate updated kindly review refl,Government Services,Revenue Department,Low,11
since day gomti nagar lucknow voltage issue service completely refh,Electricity,Electricity Board,High,1
since day bopal ahmedabad late bus service completely refh,Public Transport,Transport Department,High,1
routine complaint civil line prayagraj litter urgent need attention refl,Sanitation & Garbage,Municipal Corporation,Low,14
bus working kankarbagh patna day situation high impact refh,Public Transport,Transport Department,High,3
laxmi nagar delhi severe supply problem day please fix urgently refh,Water Supply,Municipal Corporation,High,2
possible improve bus hinjewadi pune issue low priority refl,Public Transport,Transport Department,Low,13
since day lalpur ranchi dump service completely refh,Sanitation & Garbage,Municipal Corporation,High,2
possible improve verification completed karol bagh delhi issue low priority refl,Government Services,Revenue Department,Low,10
transport style delay service hinjewadi pune due hospital issue refm,Healthcare,Health Department,Medium,5
average level transport issue seen kakadeo kanpur issue pending day refm,Public Transport,Transport Department,Medium,7
laxmi nagar delhi facing outage continuously day urgent action needed refh,Electricity,Electricity Board,High,3
blackout working nerul navi mumbai day situation high impact refh,Electricity,Electricity Board,High,2
andheri east mumbai facing medical problem continuously day urgent action needed refh,Healthcare,Health Department,High,2
pipeline issue working andheri east mumbai day situation high impact refh,Water Supply,Municipal Corporation,High,3
please improve dirty perungudi chennai minor suggestion refl,Sanitation & Garbage,Municipal Corporation,Low,15
average level record mismatch seen shivajinagar pune issue pending day refm,Government Services,Revenue Department,Medium,6
doctor working noida sector day situation high impact refh,Healthcare,Health Department,High,1
possible improve water shortage kondapur hyderabad issue low priority refl,Water Supply,Municipal Corporation,Low,14
possible improve water shortage kothrud pune issue low priority refl,Water Supply,Municipal Corporation,Low,14
routine complaint indiranagar bengaluru litter urgent need attention refl,Sanitation & Garbage,Municipal Corporation,Low,13
nerul navi mumbai dumping moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,3
small inconvenience salt lake kolkata pipeline issue kindly review refl,Water Supply,Municipal Corporation,Low,9
possible improve littering nerul navi mumbai issue low priority refl,Sanitation & Garbage,Municipal Corporation,Low,8
average level bus seen behala kolkata issue pending day refm,Public Transport,Transport Department,Medium,5
please improve electricity thane west minor suggestion refl,Electricity,Electricity Board,Low,9
water working bopal ahmedabad day situation high impact refh,Water Supply,Municipal Corporation,High,2
possible improve late bus kakadeo kanpur issue low priority refl,Public Transport,Transport Department,Low,12
small inconvenience mansarovar jaipur dirty kindly review refl,Sanitation & Garbage,Municipal Corporation,Low,15
plese improve doctor perungudi chennai minor suggestion refl,Healthcare,Health Department,Low,10
nerul navi mumbai late bus sometimes response slow delay refm,Public Transport,Transport Department,Medium,6
possible improve medical problem ameerpet hyderabad issue low priority refl,Healthcare,Health Department,Low,12
small inconvenience patia bhubaneswar becuse application pending kindly review refl,Government Services,Revenue Department,Low,7
gomti nagar lucknow severe pothole day plese fix urgently refh,Roads & Infrastructure,PWD,High,2
please improve trash perungudi chennai minor suggestion refl,Sanitation & Garbage,Municipal Corporation,Low,13
average level late bus seen bopal ahmedabad issue pending day refm,Public Transport,Transport Department,Medium,4
average level water seen noida sector issue pending day refm,Water Supply,Municipal Corporation,Medium,5
since day adyar chennai certificate updated service completely refh,Government Services,Revenue Department,High,1
kondapur hyderabad severe littering day please fix urgently refh,Sanitation & Garbage,Municipal Corporation,High,1
behala kolkata severe road damage day please fix urgently refh,Roads & Infrastructure,PWD,High,3
possible improve hospital issue ameerpet hyderabad issue low priority refl,Healthcare,Health Department,Low,9
miyapur hyderabad severe dump day please fix urgently refh,Sanitation & Garbage,Municipal Corporation,High,3
since day howrah maidan hospital issue service completely refh,Healthcare,Health Department,High,3
possible improve water bopal ahmedabad issue low priority refl,Water Supply,Municipal Corporation,Low,15
possible improve water karol bagh delhi issue low priority refl,Water Supply,Municipal Corporation,Low,10
kondapur hyderabad water moderate regular last day refm,Water Supply,Municipal Corporation,Medium,6
routine complaint howrah maidan hospital issue urgent need attention refl,Healthcare,Health Department,Low,10
hospital issue working thane west day situation high impact refh,Healthcare,Health Department,High,3
please improve bus delay ameerpet hyderabad minor suggestion refl,Public Transport,Transport Department,Low,11
since day noida sector water service completely refh,Water Supply,Municipal Corporation,High,2
miyapur hyderabad facing road damage continuously day urgent action needed refh,Roads & Infrastructure,PWD,High,3
ameerpet hyderabad facing water shortage continuously day urgent action needed refh,Water Supply,Municipal Corporation,High,3
average level doctor seen aliganj lucknow issue pending day refm,Healthcare,Health Department,Medium,3
shivajinagar pune medical problem sometimes response slow delay refm,Healthcare,Health Department,Medium,7
small inconvenience bopal ahmedabad litter kindly review refl,Sanitation & Garbage,Municipal Corporation,Low,10
miyapur hyderabad voltage issue moderate regular last day refm,Electricity,Electricity Board,Medium,6
whitefield bengaluru severe supply problem day please fix urgently refh,Water Supply,Municipal Corporation,High,2
small inconvenience ameerpet hyderabad medical problem kindly review refl,Healthcare,Health Department,Low,9
whitefield bengaluru water shortage sometimes response slow delay refm,Water Supply,Municipal Corporation,Medium,7
please improve dirty viman nagar pune minor suggestion refl,Sanitation & Garbage,Municipal Corporation,Low,10
possible improve voltage issue indiranagar bengaluru issue low priority refl,Electricity,Electricity Board,Low,9
please improve bad road miyapur hyderabad minor suggestion refl,Roads & Infrastructure,PWD,Low,11
transport style delay service nerul navi mumbai due hospital issue refm,Healthcare,Health Department,Medium,7
routine complaint banashankari bengaluru electricity urgent need attention refl,Electricity,Electricity Board,Low,7
patia bhubaneswar application pending moderate regular last day refm,Government Services,Revenue Department,Medium,6
possible improve broken road anna nagar chennai issue low priority refl,Roads & Infrastructure,PWD,Low,9
routine complaint civil line prayagraj broken road urgent need attention refl,Roads & Infrastructure,PWD,Low,7
since day kothrud pune trash service completely refh,Sanitation & Garbage,Municipal Corporation,High,1
please improve bad road mansarovar jaipur minor suggestion refl,Roads & Infrastructure,PWD,Low,14
routine complaint mayur vihar delhi outage urgent need attention refl,Electricity,Electricity Board,Low,14
average level bus seen hinjewadi pune issue pending day refm,Public Transport,Transport Department,Medium,6
average level transport issue seen saket delhi issue pending day refm,Public Transport,Transport Department,Medium,3
routine complaint thane west late bus urgent need attention refl,Public Transport,Transport Department,Low,10
saket delhi pothole moderate regular last day refm,Roads & Infrastructure,PWD,Medium,7
please improve water shortage indiranagar bengaluru minor suggestion refl,Water Supply,Municipal Corporation,Low,15
water shortage working ameerpet hyderabad day situation high impact refh,Water Supply,Municipal Corporation,High,2
behala kolkata severe bus delay day plese fix urgently refh,Public Transport,Transport Department,High,2
please improve outage andheri east mumbai minor suggestion refl,Electricity,Electricity Board,Low,11
transport style delay service shivajinagar pune due token generated refm,Government Services,Revenue Department,Medium,3
perungudi chennai facing supply problm continuously day urgent action needed refh,Water Supply,Municipal Corporation,High,3
mayur vihar delhi severe record mismatch day please fix urgently refh,Government Services,Revenue Department,High,2
salt lake kolkata outage sometimes response slow delay refm,Electricity,Electricity Board,Medium,3
routine complaint vaishali ghaziabad waste urgent need attention refl,Sanitation & Garbage,Municipal Corporation,Low,11
dwarka delhi dump moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,6
possible improve hospital issue viman nagar pune issue low priority refl,Healthcare,Health Department,Low,7
transport style delay service dwarka delhi due bus delay refm,Public Transport,Transport Department,Medium,6
transport style delay service behala kolkata due electricity refm,Electricity,Electricity Board,Medium,3
gachibowli hyderabad dirty moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,7
indiranagar bengaluru severe power cut day please fix urgently refh,Electricity,Electricity Board,High,1
transport style delay service sector gurugram due hospital issue refm,Healthcare,Health Department,Medium,5
vaishali ghaziabad facing medical problem continuously day urgent action needed refh,Healthcare,Health Department,High,3
possible improve certificate updated kakadeo kanpur issue low priority refl,Government Services,Revenue Department,Low,10
transport style delay service patia bhubaneswar due doctor refm,Healthcare,Health Department,Medium,6
routine complaint anna nagar chennai dumping urgent need attention refl,Sanitation & Garbage,Municipal Corporation,Low,7
perungudi chennai power cut moderate regular last day refm,Electricity,Electricity Board,Medium,6
routine complaint viman nagar pune bad road urgent need attention refl,Roads & Infrastructure,PWD,Low,9
perungudi chennai facing doctor continuously day urgent action needed refh,Healthcare,Health Department,High,1
transport style delay service bopal ahmedabad due pipeline isssue refm,Water Supply,Municipal Corporation,Medium,5
average level medical problem seen whitefield bengaluru issue pending day refm,Healthcare,Health Department,Medium,7
kankarbagh patna pipeline issue sometimes response slow delay refm,Water Supply,Municipal Corporation,Medium,6
routine complaint patia bhubaneswar outage urgent need attention refl,Electricity,Electricity Board,Low,12
banashankari bengaluru blackout moderate regular last day refm,Electricity,Electricity Board,Medium,7
since day miyapur hyderabad certificate updated service completely refh,Government Services,Revenue Department,High,2
average level bus seen kankarbagh patna issue pending day refm,Public Transport,Transport Department,Medium,4
rajendra nagar patna severe water shortage day plese fix urgently refh,Water Supply,Municipal Corporation,High,1
please improve appointment slot delay rajendra nagar patna minor suggestion refl,Government Services,Revenue Department,Low,15
possible improve blackout andheri east mumbai issue low priority refl,Electricity,Electricity Board,Low,11
please improve portal status stuck gomti nagar lucknow minor suggestion refl,Government Services,Revenue Department,Low,11
noida sector severe bus day please fix urgently refh,Public Transport,Transport Department,High,1
since day nagar chennai doctor service completely refh,Healthcare,Health Department,High,1
verification completed working kakadeo kanpur day situation high impact refh,Government Services,Revenue Department,High,1
thane west severe transport issue day please fix urgently refh,Public Transport,Transport Department,High,1
salt lake kolkata facing water continuously day urgent action needed refh,Water Supply,Municipal Corporation,High,3
please improve waste salt lake kolkata minor suggestion refl,Sanitation & Garbage,Municipal Corporation,Low,14
average level token generated seen andheri east mumbai issue pending day refm,Government Services,Revenue Department,Medium,7
supply problem working kothrud pune day situation high impact refh,Water Supply,Municipal Corporation,High,3
please improve voltage issue viman nagar pune minor suggestion refl,Electricity,Electricity Board,Low,12
since day ashok vihar delhi dumping service completely refh,Sanitation & Garbage,Municipal Corporation,High,2
routine complaint shivajinagar pune power cut urgent need attention refl,Electricity,Electricity Board,Low,15
viman nagar pune bus sometimes response slow delay refm,Public Transport,Transport Department,Medium,7
adyar chennai severe litter day please fix urgently refh,Sanitation & Garbage,Municipal Corporation,High,1
average level littering seen kondapur hyderabad issue pending day refm,Sanitation & Garbage,Municipal Corporation,Medium,7
bopal ahmedabad pothole moderate regular last day refm,Roads & Infrastructure,PWD,Medium,4
behala kolkata application pending moderate regular last day refm,Government Services,Revenue Department,Medium,4
transport style delay service indiranagar bengaluru due water shortage refm,Water Supply,Municipal Corporation,Medium,4
small inconvenience behala kolkata record mismatch kindly review refl,Government Services,Revenue Department,Low,12
transport style delay service whitefield bengaluru due road damage refm,Roads & Infrastructure,PWD,Medium,3
gomti nagar lucknow facing late bus continuously day urgent action needed refh,Public Transport,Transport Department,High,1
please improve doctor kankarbagh patna minor suggestion refl,Healthcare,Health Department,Low,7
average level dumping seen howrah maidan issue pending day refm,Sanitation & Garbage,Municipal Corporation,Medium,5
hospital issue working ameerpet hyderabad day situation high impact refh,Healthcare,Health Department,High,2
howrah maidan blackout moderate regular last day refm,Electricity,Electricity Board,Medium,5
possible improve doctor shivajinagar pune issue low priority refl,Healthcare,Health Department,Low,10
please improve bus dely anna nagar chennai minor suggestion refl,Public Transport,Transport Department,Low,12
gachibowli hyderabad severe token generated day plese fix urgently refh,Government Services,Revenue Department,High,1
saket delhi severe record mismatch day please fix urgently refh,Government Services,Revenue Department,High,2
